iter	Passed	Remaining
0	1	125
1	2	112
2	3	105
3	4	96
4	5	97
5	6	94
6	7	93
7	7	91
8	8	89
9	9	89
10	10	87
11	11	86
12	12	84
13	13	83
14	14	82
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	20	75
21	21	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	29	64
31	30	64
32	31	62
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
